,FSA,CAT,DOG,Total,Year
723,M9P,130,305,435,2022
724,M9N,134,362,496,2022
725,M9M,75,142,217,2022
726,M9L,47,81,128,2022
727,M9C,261,710,971,2022
728,M9B,223,714,937,2022
729,M9A,246,712,958,2022
730,M8Z,160,469,629,2022
731,M8Y,164,517,681,2022
732,M8X,93,331,424,2022
733,M8W,178,561,739,2022
734,M8V,384,1017,1401,2022
735,M8D,1,0,1,2022
736,M6T,1,0,1,2022
737,M6S,379,962,1341,2022
738,M6R,250,645,895,2022
739,M6P,456,1095,1551,2022
740,M6N,279,712,991,2022
741,M6L,58,181,239,2022
742,M4W,91,523,614,2022
743,M6G,313,727,1040,2022
744,M4T,84,421,505,2022
745,M2P,41,202,243,2022
746,M2N,405,880,1285,2022
747,M2M,126,314,440,2022
748,M2L,56,268,324,2022
749,M2K,102,337,439,2022
750,M2J,245,567,812,2022
751,M2H,110,267,377,2022
752,M1X,25,87,112,2022
753,M1W,158,365,523,2022
754,M1V,132,346,478,2022
755,M2R,158,354,512,2022
756,M1T,144,306,450,2022
757,M1R,122,382,504,2022
758,M1P,197,379,576,2022
759,M1N,232,654,886,2022
760,M1M,197,475,672,2022
761,M1L,196,363,559,2022
762,M1K,291,425,716,2022
763,M1J,154,284,438,2022
764,M1H,92,225,317,2022
765,M4V,129,629,758,2022
766,M1E,346,636,982,2022
767,M1S,148,300,448,2022
768,M3A,192,491,683,2022
769,M1G,143,262,405,2022
770,M3C,163,278,441,2022
771,M3B,83,283,366,2022
772,M4S,256,838,1094,2022
773,M4P,205,588,793,2022
774,M4N,91,580,671,2022
775,M4M,204,654,858,2022
776,M4L,328,1129,1457,2022
777,M4K,264,812,1076,2022
778,M4J,391,922,1313,2022
779,M4H,51,39,90,2022
780,M4G,139,684,823,2022
781,M4R,94,437,531,2022
782,M4C,451,938,1389,2022
783,M4B,174,352,526,2022
784,M4A,83,157,240,2022
785,M3N,131,197,328,2022
786,M3M,121,220,341,2022
787,M3L,47,148,195,2022
788,M3K,57,97,154,2022
789,M3J,104,222,326,2022
790,M3H,198,613,811,2022
791,M4E,315,1024,1339,2022
792,M4W,101,514,615,2023
793,M5R,208,658,866,2023
794,M5S,110,229,339,2023
795,M6B,146,360,506,2023
796,M5V,365,1003,1368,2023
797,M6A,112,238,350,2023
798,M5P,146,593,739,2023
799,M6C,187,587,774,2023
800,M5T,120,222,342,2023
801,M5N,75,418,493,2023
802,M5E,67,197,264,2023
803,M5J,84,183,267,2023
804,M5H,27,42,69,2023
805,M5G,76,84,160,2023
806,M5C,24,61,85,2023
807,M5B,125,220,345,2023
808,M5A,351,922,1273,2023
809,M4Y,298,526,824,2023
810,M6E,290,601,891,2023
811,M4X,156,302,458,2023
812,M5M,190,814,1004,2023
813,M6G,312,701,1013,2023
814,M8W,208,554,762,2023
815,M6J,318,672,990,2023
816,M4V,123,618,741,2023
817,M9W,132,368,500,2023
818,M9R,146,373,519,2023
819,M9P,130,300,430,2023
820,M9N,136,330,466,2023
821,M9M,67,154,221,2023
822,M9L,39,85,124,2023
823,M9C,214,731,945,2023
824,M9B,210,691,901,2023
825,M9A,257,682,939,2023
826,M8Z,154,459,613,2023
827,M8Y,145,501,646,2023
828,M8X,84,332,416,2023
829,M8V,353,918,1271,2023
830,M6S,365,896,1261,2023
831,M6R,258,597,855,2023
832,M6P,484,1060,1544,2023
833,M6N,309,731,1040,2023
834,M6M,209,387,596,2023
835,M6L,71,188,259,2023
836,M6K,426,767,1193,2023
837,M6H,447,814,1261,2023
838,M4T,85,364,449,2023
839,M9V,138,286,424,2023
840,M4R,83,398,481,2023
841,M2L,50,250,300,2023
842,M2K,107,350,457,2023
843,M2J,271,580,851,2023
844,M2H,138,262,400,2023
845,M1X,18,86,104,2023
846,M1W,161,351,512,2023
847,M1V,146,324,470,2023
848,M1T,150,322,472,2023
849,M4S,284,825,1109,2023
850,M1R,134,382,516,2023
851,M1P,198,363,561,2023
852,M1N,219,645,864,2023
853,M1M,173,466,639,2023
854,M1L,196,364,560,2023
855,M1K,258,390,648,2023
856,M1J,160,298,458,2023
857,M1H,81,201,282,2023
858,M1G,136,282,418,2023
859,M1E,355,685,1040,2023
860,M1C,186,536,722,2023
861,M1B,208,455,663,2023
862,M2M,127,276,403,2023
863,M2N,398,869,1267,2023
864,M1S,147,318,465,2023
865,M2R,166,380,546,2023
866,M2P,38,168,206,2023
867,M4P,212,551,763,2023
868,M4N,94,579,673,2023
869,M4M,202,621,823,2023
870,M4L,298,1135,1433,2023
871,M4K,270,836,1106,2023
872,M4H,61,46,107,2023
873,M4G,132,650,782,2023
874,M4E,286,914,1200,2023
875,M4C,448,948,1396,2023
876,M4J,369,954,1323,2023
877,M4A,94,158,252,2023
878,M4B,173,357,530,2023
879,M3B,76,266,342,2023
880,M3C,184,286,470,2023
881,M3H,192,565,757,2023
882,M3J,131,182,313,2023
883,M3A,198,466,664,2023
884,M3L,50,138,188,2023
885,M3M,107,215,322,2023
886,M3N,175,215,390,2023
887,M3K,47,105,152,2023
888,M5P,146,548,694,2024
