_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
84546,2024,M3H,DOG,COCKER SPAN
84547,2023,M3H,DOG,COCKER SPAN
84548,2023,M6N,DOG,BOXER
84549,2025,M6N,DOG,BOXER
84550,2025,M1M,DOG,FRENCH BULLDOG
84551,2024,M1M,DOG,FRENCH BULLDOG
84552,2025,M4H,CAT,DOMESTIC SH
84553,2024,M5V,CAT,DOMESTIC SH
84554,2023,M5V,CAT,DOMESTIC SH
84555,2025,M4H,CAT,DOMESTIC SH
84556,2023,M5V,CAT,DOMESTIC SH
84557,2024,M5V,CAT,DOMESTIC SH
84558,2023,M6P,CAT,DOMESTIC SH
84559,2024,M6P,CAT,DOMESTIC SH
84560,2024,M1P,CAT,BRITISH SH
84561,2023,M4W,DOG,POODLE MIN
84562,2025,M4W,DOG,POODLE MIN
84563,2024,M9C,DOG,SHIH TZU
84564,2025,M9C,DOG,SHIH TZU
84565,2023,M5P,DOG,AUST CATTLE DOG
84566,2023,M5P,DOG,AUST CATTLE DOG
84567,2025,M6K,DOG,AUST CATTLE DOG
84568,2023,M6K,DOG,AUST CATTLE DOG
84569,2025,M2K,DOG,GOLDEN RETR
84570,2024,M2K,DOG,GOLDEN RETR
84571,2025,M2P,DOG,SHIH TZU
84572,2024,M2P,DOG,SHIH TZU
84573,2025,M1N,DOG,SIBERIAN HUSKY
84574,2025,M1G,DOG,SHIH TZU
84575,2025,M1E,DOG,CHINESE SHARPEI
84576,2024,M5A,DOG,PARSON RUSS TER
84577,2025,M6R,CAT,SIAMESE
84578,2024,M5N,DOG,GOLDEN RETR
84579,2024,M6J,DOG,LABRADOR RETR
84580,2023,M3H,DOG,CAVALIER SPAN
84581,2025,M4V,DOG,POODLE MIN
84582,2024,M6P,DOG,SIBERIAN HUSKY
84583,2024,M6N,DOG,CAIRN TERRIER
84584,2023,M4E,CAT,DOMESTIC SH
84585,2025,M1C,DOG,LABRADOR RETR
84586,2025,M4P,DOG,POODLE MIN
84587,2025,M4M,DOG,SCOT TERRIER
84588,2023,M1B,DOG,CHIHUAHUA SH
84589,2024,M1L,DOG,WELSH CORGI CAR
84590,2023,M1J,DOG,SHIH TZU
84591,2024,M9R,DOG,CHINESE SHARPEI
84592,2023,M4G,DOG,NORFOLK TERRIER
84593,2025,M4V,DOG,LABRADOR RETR
84594,2023,M9B,DOG,LABRADOR RETR
84595,2025,M4C,DOG,GOLDEN RETR
84596,2025,M2P,DOG,POODLE STND
84597,2025,M4G,DOG,BERNESE MTN DOG
84598,2024,M8V,DOG,LABRADOR RETR
84599,2025,M5N,DOG,PORT WATER DOG
84600,2023,M8V,DOG,GERM SHEPHERD
84601,2024,M1C,DOG,LABRADOR RETR
84602,2025,M6G,DOG,RUSSIAN TERRIER
84603,2025,M1W,DOG,YORKSHIRE TERR
84604,2024,M4A,DOG,ROTTWEILER
84605,2025,M4N,DOG,COCKER SPAN
84606,2024,M5M,DOG,GOLDEN RETR
84607,2023,M2M,CAT,DOMESTIC SH
84608,2023,M2N,DOG,SIBERIAN HUSKY
84609,2025,M1R,DOG,BOXER
84610,2024,M6G,DOG,LABRADOR RETR
84611,2024,M3C,DOG,GERM SHEPHERD
84612,2023,M9B,DOG,ROTTWEILER
84613,2025,M4E,DOG,ST BERNARD RGH
84614,2024,M1J,DOG,SHIH TZU
84615,2023,M8V,DOG,POODLE TOY
84616,2025,M1K,DOG,LABRADOR RETR
84617,2024,M6J,DOG,GOLDEN RETR
84618,2025,M6N,DOG,PARSON RUSS TER
84619,2023,M6N,DOG,TERRIER
84620,2025,M6E,DOG,GERM SHEPHERD
84621,2023,M4E,CAT,DOMESTIC SH
84622,2023,M4E,CAT,DOMESTIC SH
84623,2025,M4C,DOG,LABRADOR RETR
84624,2025,M1C,DOG,MALTESE
84625,2024,M4W,DOG,POODLE MIN
84626,2025,M2J,DOG,CHIHUAHUA SH
84627,2025,M6P,DOG,FEIST
84628,2025,M1N,DOG,BEAGLE
84629,2025,M5P,DOG,COCKER SPAN
84630,2023,M2K,DOG,AKITA
84631,2023,M2K,DOG,AKITA
84632,2023,M5A,DOG,WEST HIGHLAND
84633,2023,M5V,DOG,POODLE MIN
84634,2024,M6J,DOG,GERM SHEPHERD
84635,2023,M1S,CAT,ABYSSINIAN
84636,2023,M1B,DOG,BOSTON TERRIER
84637,2025,M4L,DOG,GOLDEN RETR
84638,2025,M8Y,DOG,COCKER SPAN
84639,2024,M4W,DOG,PORT WATER DOG
84640,2025,M4T,DOG,IRISH SETTER
84641,2024,M9B,DOG,GREAT PYRENEES
84642,2023,M5P,DOG,AMER BULLDOG
84643,2023,M3H,DOG,BICHON FRISE
84644,2023,M3H,DOG,BICHON FRISE
84645,2025,M4W,DOG,LABRADOR RETR
84646,2024,M1G,DOG,YORKSHIRE TERR
84647,2024,M4C,DOG,PARSON RUSS TER
84648,2023,M1S,DOG,POODLE TOY
84649,2025,M8Z,DOG,VIZSLA
84650,2024,M4K,DOG,SIBERIAN HUSKY
84651,2023,M4J,DOG,GERM SHEPHERD
84652,2025,M5V,DOG,YORKSHIRE TERR
84653,2023,M9L,DOG,BOXER
84654,2025,M5M,DOG,POODLE MIN
84655,2025,M4M,DOG,AUST SHEPHERD
84656,2024,M8V,DOG,POODLE MIN
84657,2023,M4N,DOG,POODLE STND
84658,2024,M6R,DOG,ENG BULLDOG
84659,2024,M3A,DOG,PARSON RUSS TER
84660,2023,M8X,DOG,ENG BULLDOG
84661,2025,M4Y,CAT,RUSSIAN BLUE
84662,2023,M4X,DOG,AUST SHEPHERD
84663,2023,M9C,DOG,GOLDEN RETR
84664,2024,M3K,DOG,MASTIFF
84665,2025,M2L,DOG,UNKNOWN
84666,2023,M6J,DOG,GOLDEN RETR
84667,2025,M1T,DOG,CAVALIER SPAN
84668,2023,M4K,DOG,GOLDEN RETR
84669,2024,M4E,DOG,WHIPPET
84670,2023,M9R,DOG,COCKER SPAN
84671,2024,M9R,DOG,COCKER SPAN
84672,2023,M4N,DOG,GOLDEN RETR
84673,2024,M1T,DOG,BEAGLE
84674,2023,M2M,DOG,AMER ESKIMO
84675,2025,M2L,DOG,POODLE MIN
84676,2024,M4N,DOG,LABRADOR RETR
84677,2023,M5M,DOG,AUST SHEPHERD
84678,2025,M8W,DOG,POODLE MIN
84679,2023,M6R,DOG,UNKNOWN
84680,2024,M5V,DOG,BERNESE MTN DOG
84681,2025,M8V,DOG,GERM SHEPHERD
84682,2023,M6H,DOG,LABRADOR RETR
