_id,objectid,locationid,asset_id,location_name,address,hours,url,comm_dog_walkers_allowed,fenced_perimeter,lit_area,small_dog_area,surface_material,nearby_drinking_water_source,nearby_drinking_water_source_ty,hours_of_operation,area_sqm,features,geometry
74,192,2262,60242,Confederation Park,250 Dolly Varden Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2262,Yes,Full,No,Yes,Pea Gravel,Yes,"Drinking Fountain, Dog Fountain",Park hours,3652,None,"{""coordinates"": [[-79.2350610590505, 43.7737233013721]], ""type"": ""MultiPoint""}"
75,193,306,2843,Withrow Park,725 Logan Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=306,Yes,Full,No,No,Engineered Wood Fibre,Yes,"Drinking Fountain, Dog Fountain",Park hours,4415,None,"{""coordinates"": [[-79.3469451789053, 43.6739894300575]], ""type"": ""MultiPoint""}"
76,194,421,24985,Stan Wadlow Park,888 Cosburn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=421,No,Full,Yes,Yes,Engineered Wood Fibre,None,None,6 a.m. to 10 p.m.,2178,None,"{""coordinates"": [[-79.3145089799421, 43.6995068974526]], ""type"": ""MultiPoint""}"
77,195,343,36783,Riverdale Park East,550 Broadview Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=343,No,None,No,No,Grass,Yes,Drinking Fountain,Park hours,4486,None,"{""coordinates"": [[-79.356902550268, 43.6718428347504]], ""type"": ""MultiPoint""}"
78,196,2238,2840,Woburn Park - North York,575 Cranbrooke Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2238,No,Full,No,No,Pea Gravel,None,None,7 a.m. to 11 p.m.,532,None,"{""coordinates"": [[-79.4295924958394, 43.7238710042729]], ""type"": ""MultiPoint""}"
79,204,3799,116981,Love Park,96 Queens Quay W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3799,Yes,Full,No,No,Synthetic K-9 Turf,No,None,Park hours,215,None,"{""coordinates"": [[-79.3797249900008, 43.6411039023313]], ""type"": ""MultiPoint""}"
80,205,2163,138413,Breadalbane Park,30 Breadalbane St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=,No,Full,Yes,No,Synthetic K-9 Turf,No,None,7 a.m. to 10 p.m.,960,None,"{""coordinates"": [[-79.3859805772534, 43.6638026670354]], ""type"": ""MultiPoint""}"
81,206,3826,,Zorra Park,30 Zorra St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3826,No,Full,No,No,Engineered Wood Fibre,Yes,Drinking Fountain,None,,Splash Pad for Dogs,"{""coordinates"": [[-79.5220403493944, 43.6203979330862]], ""type"": ""MultiPoint""}"
82,207,739,971838,Bob Hunter Park,1025 Meadowvale Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=739,Yes,Full,None,Yes,None,Yes,Drinking Fountain,Park hours,2600,None,"{""coordinates"": [[-79.1662933432314, 43.8026606520425]], ""type"": ""MultiPoint""}"
83,208,248,970770,Osler Playground,123 Argyle St,Park hours,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=248,No,Full,No,No,Engineered Wood Fibre,Yes,Drinking Fountain,Park hours,,None,"{""coordinates"": [[-79.4224691525389, 43.6457315720163]], ""type"": ""MultiPoint""}"
